 12.000000-28.911200-25.134000-21.719600-17.851500  6.002697  4.835500 -2.371866 -4.220470
 16.000000-30.325300-26.388900-20.015800-13.909600  6.413607  4.988944 -2.299968 -3.796300
 18.000000-30.991100-26.791400-19.479900-11.829200  6.497622  4.683778 -2.259881 -3.498330
 20.000000-31.569700-26.434100-19.185200 -9.653240  6.474828  4.056027 -2.243332 -3.152470
 23.000000-32.688200-25.045700-18.808300 -6.207780  6.707396  2.827032 -2.123010 -2.584030
 25.000000-33.687500-23.609500-18.464800 -3.769550  7.000133  1.973941 -1.975596 -2.195300
 -4.000000-46.475600-48.487600-59.562400-55.590400 11.570150  9.777795 14.153300 14.483486
 -2.000000-49.457900-50.995300-56.457100-54.439600 11.683110 11.018450 13.121249 13.299611
  0.000000-52.876600-52.940800-52.929000-52.965200 12.262390 12.157220 12.177731 12.143735
  2.000000-56.278900-54.354700-49.483200-51.096900 13.139590 13.253330 11.640438 11.042255
  4.000000-59.464300-55.470700-46.444500-48.628000 14.246920 14.391510 11.554270  9.812166
  6.000000-62.369100-56.611000-43.930200-45.447100 15.032810 15.611540 11.944805  8.235669
  8.000000-65.122500-57.953100-41.947300-41.951700 15.389790 16.984850 12.530366  6.528363
 10.000000-67.887200-59.250100-40.470300-38.509800 15.773920 18.304360 12.898096  4.931705
 12.000000-70.429900-60.215700-39.506800-35.101200 16.234790 19.279800 13.046382  3.497447
 16.000000-73.216000-59.859200-38.660300-28.005100 18.278970 19.422610 12.760744  1.095384
 18.000000-75.252400-58.336300-38.765700-24.065500 19.225910 18.601040 12.423080  0.029375
 20.000000-77.111200-56.148500-39.024900-19.756500 20.300540 17.516810 11.672942 -0.982611
 23.000000-79.631400-51.976400-39.097500-12.761400 21.307770 15.650010  9.567821 -2.203353
 25.000000-78.800800-48.714500-38.067200 -7.806700 22.057590 14.383910  6.883784 -2.817428
 -4.000000 -6.407580 -6.353850 -8.966910 -8.395040 -0.917880 -1.136170 -0.587083 -0.691080
 -2.000000 -6.874560 -6.999480 -8.235490 -8.017580 -0.900800 -1.037100 -0.730839 -0.802040
  0.000000 -7.466110 -7.552950 -7.500210 -7.565730 -0.828490 -0.929700 -0.831001 -0.933770
  2.000000 -8.224840 -8.009420 -6.882610 -7.021270 -0.714810 -0.803540 -0.913423 -1.051180
  4.000000 -8.971780 -8.391450 -6.424970 -6.325270 -0.580200 -0.678020 -0.934648 -1.143880
  6.000000 -9.612890 -8.767920 -6.066700 -5.530320 -0.346820 -0.576200 -0.956037 -1.242830
