 0.5000   581.6118164     0.2707317 -0.2913756 0.0000000     8.7196478 6.6193353  -38.3676194  0.0000000 -0.2435078 -1.1569481  -1.0174268   0.1129540   0.0472894 -0.3057942  0.0625754  0.0000000 30.8803723 -4.2833316 0.0608049 -0.0091405 -0.0338407 -0.2376362 -0.0994890 0.0011215 0.0008513 -0.0002985 -0.0049346
 0.5500   691.8278809     0.2699765 -0.3332087 0.0000000     12.4810296 8.1388109  -46.0609399  0.0000000 -0.2695734 -1.4584449  -1.0188935   1.8617383   0.0531181 -0.2809101  0.0550735  0.0000000 33.6229177 -5.1626937 0.0722451 -0.0096780 -0.0342587 -0.2444878 -0.1021678 0.0013482 0.0008791 -0.0002851 -0.0049754
 0.6000   811.9425659     0.2728044 -0.3813445 0.0000000     12.7055429 9.9604107  -54.6433067  0.0000000 -0.2968607 -1.7806053  -1.0210090   1.7454671   0.0593582 -0.2591202  0.0490396  0.0000000 36.4216588 -6.1536621 0.0734654 -0.0100586 -0.0347618 -0.2521142 -0.1052499 0.0011682 0.0009158 -0.0002712 -0.0050243
 0.6500   941.9583130     0.2783583 -0.4354997 0.0000000     13.0352793 12.1061580  -64.1326010  0.0000000 -0.3255741 -2.4370658  -1.0236103   1.6494854   0.0651096 -0.2402130  0.0442220  0.0000000 39.2267608 -7.2598110 0.0617500 -0.0118558 -0.0353174 -0.2614802 -0.1070467 0.0010321 0.0009585 -0.0002580 -0.0050779
 0.7000   1081.7463379     0.2853127 -0.4888283 0.0000000     15.3650138 14.5488343  -74.4924535  0.0000000 -0.3557951 -3.7252606  -1.0263879   1.5748893   0.0710416 -0.2237168  0.0403694  0.0000000 42.0344851 -8.4763012 0.0509797 -0.0157662 -0.0358737 -0.2793355 -0.1088533 0.0010583 0.0010021 -0.0002470 -0.0051309
 0.7500   1231.2155762     0.2921024 -0.5392749 0.0000000     19.2822276 17.2041738  -85.6362841  0.0000000 -0.3863673 -5.0966317  -1.0289195   1.5100925   0.0769938 -0.2092844  0.0372899  0.0000000 44.8426891 -9.7897114 0.0512242 -0.0189341 -0.0363690 -0.2913624 -0.1104413 0.0011657 0.0010401 -0.0002392 -0.0051773
 0.8000   1390.0883789     0.2967510 -0.5854400 0.0000000     24.0925160 19.9026368  -97.3921700  0.0000000 -0.4153439 -6.1881227  -1.0306185   1.4491645   0.0827293 -0.1966915  0.0348133  0.0000000 47.6464700 -11.1726888 0.0577599 -0.0203429 -0.0367292 -0.2933829 -0.1115412 0.0012888 0.0010647 -0.0002353 -0.0052100
 0.8500   1558.3278809     0.2969344 -0.6221573 0.0000000     27.7453340 22.3822557  -109.5266164  0.0000000 -0.4408016 -7.0343950  -1.0307859   1.3958258   0.0879587 -0.1857662  0.0327626  0.0000000 50.4458520 -12.5859083 0.0650963 -0.0206093 -0.0368741 -0.2940182 -0.1118670 0.0013227 0.0010670 -0.0002352 -0.0052214
 0.9000   1736.5162354     0.2918063 -0.6476376 0.0000000     29.6302767 24.4815201  -121.9480027  0.0000000 -0.4621146 -7.5070669  -1.0293014   1.3488040   0.0925926 -0.1762562  0.0309165  0.0000000 53.2503992 -14.0105356 0.0708454 -0.0197191 -0.0368019 -0.2937762 -0.1114153 0.0012663 0.0010463 -0.0002375 -0.0052118
 0.9500   1925.1417236     0.2830304 -0.6650888 0.0000000     30.5906411 26.2625275  -134.7681308  0.0000000 -0.4805048 -7.5154727  -1.0268452   1.3035908   0.0968175 -0.1678380  0.0291555  0.0000000 56.0665236 -15.4620346 0.0748341 -0.0177905 -0.0366014 -0.2889189 -0.1105062 0.0011781 0.0010114 -0.0002400 -0.0051903
 1.0000   2124.1286621     0.2731648 -0.6797764 0.0000000     31.9780014 27.9275025  -148.1850683  0.0000000 -0.4979227 -7.2412262  -1.0242724   1.2587825   0.1009247 -0.1602372  0.0274565  0.0000000 58.8916501 -16.9732119 0.0775176 -0.0155211 -0.0363811 -0.2794370 -0.1095291 0.0011151 0.0009738 -0.0002411 -0.0051672
 1.0500   2333.3549805     0.2636531 -0.6898114 0.0000000     31.3084379 29.5991125  -162.3136245  0.0000000 -0.5160637 -7.3544180  -1.0219636   1.2229015   0.1050267 -0.1532873  0.0258581  0.0000000 61.7230005 -18.5636300 0.0799787 -0.0143370 -0.0361886 -0.2754615 -0.1086153 0.0009928 0.0009386 -0.0002406 -0.0051473
 1.1000   2552.8769531     0.2543861 -0.6965103 0.0000000     29.7636759 31.2434794  -177.1390655  0.0000000 -0.5344696 -7.4287738  -1.0198466   1.1909529   0.1091765 -0.1469105  0.0243725  0.0000000 64.5604983 -20.2301451 0.0825934 -0.0132244 -0.0360128 -0.2718788 -0.1078094 0.0008618 0.0009047 -0.0002387 -0.0051293
 1.1500   2782.7568359     0.2448690 -0.7006407 0.0000000     27.8060303 32.7718998  -192.6027840  0.0000000 -0.5523588 -7.2938682  -1.0177830   1.1608899   0.1132954 -0.1410545  0.0229878  0.0000000 67.4041185 -21.9617633 0.0851421 -0.0119006 -0.0358325 -0.2671539 -0.1070234 0.0007379 0.0008697 -0.0002355 -0.0051112
 1.2000   3023.0305176     0.2347961 -0.7010125 0.0000000     25.3323868 34.1064081  -208.6578981  0.0000000 -0.5694602 -6.9111898  -1.0157087   1.1321712   0.1173258 -0.1356672  0.0216883  0.0000000 70.2535600 -23.7493054 0.0874800 -0.0103703 -0.0356361 -0.2613007 -0.1062035 0.0006182 0.0008323 -0.0002309 -0.0050921
 1.2500   3273.7084961     0.2240579 -0.6970870 0.0000000     22.2206936 35.1891744  -225.2760243  0.0000000 -0.5856489 -6.2697807  -1.0136192   1.1045348   0.1212382 -0.1306970  0.0204603  0.0000000 73.1082927 -25.5866855 0.0896855 -0.0086794 -0.0354204 -0.2545217 -0.1053293 0.0005003 0.0007922 -0.0002247 -0.0050717
 1.3000   3534.8100586     0.2126824 -0.6888065 0.0000000     20.7381466 34.7347923  -244.5547376  0.0000000 -0.6009102 -5.4369954  -1.0115436   1.0747987   0.1263661 -0.1260952  0.0192943  0.0000000 75.9679276 -27.7449574 0.0919933 -0.0069642 -0.0355380 -0.2445109 -0.1055214 0.0004320 0.0007235 -0.0002638 -0.0050939
 1.3500   3806.3713379     0.2007127 -0.6762367 0.0000000     19.4924496 33.5204311  -265.0302872  0.0000000 -0.6152585 -4.3693926  -1.0095138   1.0455647   0.1316742 -0.1218188  0.0181811  0.0000000 78.8323442 -30.0314227 0.0948736 -0.0051926 -0.0356891 -0.2339270 -0.1058283 0.0003767 0.0006477 -0.0003107 -0.0051214
 1.4000   4088.3999023     0.1887174 -0.6621622 0.0000000     19.7038414 31.9271206  -286.3513219  0.0000000 -0.6293219 -3.2408977  -1.0076670   1.0178498   0.1369462 -0.1178197  0.0171080  0.0000000 81.7011579 -32.4047207 0.0988932 -0.0035824 -0.0358197 -0.2237904 -0.1060704 0.0003541 0.0005738 -0.0003548 -0.0051466
 1.4500   4380.8540039     0.1775719 -0.6507470 0.0000000     19.2763601 30.3581887  -308.4100455  0.0000000 -0.6440382 -2.1434853  -1.0061494   0.9932532   0.1421499 -0.1140534  0.0160771  0.0000000 84.5735309 -34.8600886 0.1038107 -0.0022091 -0.0359279 -0.2153906 -0.1062313 0.0003230 0.0005087 -0.0003915 -0.0051678
 1.5000   4683.7529297     0.1678253 -0.6447941 0.0000000     18.6737954 29.1129780  -330.1211796  0.0000000 -0.6600409 -1.4812681  -1.0050053   0.9751245   0.1465064 -0.1104904  0.0150960  0.0000000 87.4493404 -37.2179476 0.1089479 -0.0014266 -0.0358439 -0.2110910 -0.1057572 0.0002924 0.0004558 -0.0004239 -0.0051687
 1.5500   4997.1401367     0.1596201 -0.6452739 0.0000000     18.5900312 28.3794541  -351.4677850  0.0000000 -0.6775503 -1.3480637  -1.0041976   0.9633148   0.1501521 -0.1071135  0.0141717  0.0000000 90.3286371 -39.4906299 0.1127224 -0.0012157 -0.0356142 -0.2104848 -0.1048058 0.0002725 0.0004161 -0.0004515 -0.0051527
 1.6000   5321.0034180     0.1528763 -0.6521567 0.0000000     23.2620309 28.2621474  -374.0231361  0.0000000 -0.6965569 -2.4386716  -1.0036636   0.9603823   0.1543144 -0.1039116  0.0133070  0.0000000 93.2110099 -41.9568153 0.1148145 -0.0020635 -0.0355021 -0.2150310 -0.1042531 0.0003200 0.0003887 -0.0004666 -0.0051444
 1.6500   5655.3085938     0.1475044 -0.6653645 0.0000000     31.3414050 28.8124838  -397.8258452  0.0000000 -0.7170399 -4.3633786  -1.0033525   0.9630325   0.1589679 -0.1008740  0.0125022  0.0000000 96.0958871 -44.6201893 0.1154522 -0.0034706 -0.0354906 -0.2221636 -0.1040459 0.0004052 0.0003725 -0.0004709 -0.0051432
 1.7000   6000.0122070     0.1434505 -0.6849558 0.0000000     40.7823488 30.0968586  -422.9236530  0.0000000 -0.7390090 -6.5464235  -1.0032284   0.9674400   0.1640864 -0.0979903  0.0117573  0.0000000 98.9827052 -47.4857689 0.1147382 -0.0049032 -0.0355667 -0.2292809 -0.1041368 0.0004965 0.0003664 -0.0004653 -0.0051484
 1.7500   6355.0615234     0.1406714 -0.7109822 0.0000000     51.4873183 32.1809253  -449.3635011  0.0000000 -0.7624722 -8.9441228  -1.0032645   0.9733276   0.1696456 -0.0952499  0.0110723  0.0000000 101.8709165 -50.5576279 0.1126346 -0.0063189 -0.0357184 -0.2362661 -0.1044851 0.0005912 0.0003695 -0.0004508 -0.0051594
 1.8000   6720.4003906     0.1391041 -0.7433139 0.0000000     63.3779170 35.1071031  -477.1775652  0.0000000 -0.7873969 -11.5072815  -1.0034374   0.9803955   0.1756148 -0.0926436  0.0104469  0.0000000 104.7599674 -53.8360204 0.1090510 -0.0076806 -0.0359331 -0.2429972 -0.1050506 0.0006874 0.0003808 -0.0004284 -0.0051757
 1.8500   7095.9604492     0.1386504 -0.7815484 0.0000000     76.3325669 38.8798007  -506.3730790  0.0000000 -0.8136885 -14.1783397  -1.0037249   0.9883111   0.1819507 -0.0901627  0.0098807  0.0000000 107.6492853 -57.3157237 0.1039152 -0.0089541 -0.0361969 -0.2493422 -0.1057905 0.0007833 0.0003990 -0.0003995 -0.0051965
 1.9000   7481.6601563     0.1391793 -0.8250128 0.0000000     90.1595737 43.4614434  -536.9294986  0.0000000 -0.8411907 -16.8924151  -1.0041057   0.9967168   0.1885981 -0.0877998  0.0093726  0.0000000 110.5382842 -60.9860182 0.0972145 -0.0101087 -0.0364950 -0.2551658 -0.1066595 0.0008766 0.0004226 -0.0003656 -0.0052207
 1.9500   7877.4218750     0.1405355 -0.8728153 0.0000000     103.1185790 48.8548356  -567.3135281  0.0000000 -0.8696988 -19.6190293  -1.0045589   1.0051944   0.1947877 -0.0855478  0.0089210  0.0000000 113.4264334 -64.6213598 0.0885079 -0.0111400 -0.0366931 -0.2603108 -0.1072243 0.0009513 0.0004507 -0.0003342 -0.0052337
 2.0000   8283.1933594     0.1425342 -0.9237787 0.0000000     114.2466418 54.9732260  -597.4983401  0.0000000 -0.8989446 -22.1150766  -1.0050616   1.0122714   0.2006347 -0.0834007  0.0085238  0.0000000 116.3134357 -68.2284620 0.0753716 -0.0119309 -0.0368087 -0.2640681 -0.1075705 0.0010013 0.0004818 -0.0003064 -0.0052369
 2.0500   8698.9023438     0.1449821 -0.9766991 0.0000000     124.1235885 61.6271571  -628.5952730  0.0000000 -0.9286534 -24.2091226  -1.0055920   1.0173592   0.2067688 -0.0813530  0.0081770  0.0000000 119.1988997 -71.9658141 0.0585616 -0.0124248 -0.0369348 -0.2662607 -0.1080440 0.0010349 0.0005138 -0.0002787 -0.0052408
 2.1000   9124.4931641     0.1477232 -1.0307282 0.0000000     132.7489276 68.7094653  -660.6302409  0.0000000 -0.9586319 -25.8836672  -1.0061352   1.0205866   0.2131613 -0.0793993  0.0078743  0.0000000 122.0825701 -75.8345878 0.0399458 -0.0126526 -0.0370700 -0.2670924 -0.1086208 0.0010541 0.0005456 -0.0002519 -0.0052457
