 1.6000    -0.3453121 0.1859263 -0.4459081  0.0000383 0.0015254 0.0265270  2.0076400 5321.0034180   0.4286818 0.8606387 -0.5389581  -0.4780016 -0.1467231 0.1730784  0.4777699 -0.2076021   -0.0668217 0.0983683 0.1336480
 1.6500    -0.3442491 0.1771871 -0.4996135  0.0000579 0.0001482 0.0240616  1.9725358 5655.3085938   0.4325013 0.8531242 -0.6002805  -0.4392195 -0.1286629 0.1567291  0.4367294 -0.2306587   -0.0929605 0.1102486 0.1740542
 1.7000    -0.3443729 0.1794120 -0.5509932  0.0000861 -0.0010583 0.0219968  1.9589566 6000.0122070   0.4392756 0.8605218 -0.6603029  -0.4084748 -0.1152839 0.1442029  0.4043592 -0.2571286   -0.1191119 0.1276013 0.2149529
 1.7500    -0.3454006 0.1935552 -0.5997737  0.0001189 -0.0021951 0.0197664  1.9674338 6355.0615234   0.4485308 0.8824548 -0.7190215  -0.3839549 -0.1055996 0.1348375  0.3788098 -0.2867773   -0.1450113 0.1491076 0.2574701
 1.8000    -0.3472095 0.2191406 -0.6454378  0.0001517 -0.0032794 0.0172045  1.9943699 6720.4003906   0.4599263 0.9172631 -0.7759972  -0.3634947 -0.0984951 0.1277588  0.3580357 -0.3203383   -0.1711235 0.1747600 0.3035927
 1.8500    -0.3497385 0.2545100 -0.6873283  0.0001803 -0.0042863 0.0144115  2.0338592 7095.9604492   0.4731302 0.9622802 -0.8304246  -0.3447399 -0.0927520 0.1219336  0.3398597 -0.3581951   -0.1977937 0.2045825 0.3551692
 1.9000    -0.3529032 0.2973503 -0.7247420  0.0002004 -0.0051745 0.0115858  2.0798320 7481.6601563   0.4877417 1.0144208 -0.8812486  -0.3254387 -0.0871825 0.1163162  0.3221884 -0.3998328   -0.2248625 0.2380671 0.4133410
 1.9500    -0.3551126 0.3477827 -0.7640061  0.0002277 -0.0071363 0.0086685  2.1279623 7877.4218750   0.5032146 1.0708217 -0.9274356  -0.3038528 -0.0807439 0.1101066  0.3031987 -0.4442387   -0.2517040 0.2744890 0.4784509
 2.0000    -0.3567572 0.4023692 -0.8012834  0.0002395 -0.0095662 0.0059465  2.1746875 8283.1933594   0.5188744 1.1283897 -0.9648227  -0.2780047 -0.0729166 0.1022851  0.2819757 -0.4888111   -0.2783879 0.3120452 0.5513462
 2.0500    -0.3592649 0.4554984 -0.8261190  0.0002038 -0.0107222 0.0039775  2.2165908 8698.9023438   0.5339914 1.1836404 -0.9877465  -0.2458704 -0.0635620 0.0914676  0.2580281 -0.5282371   -0.3060401 0.3461995 0.6333151
 2.1000    -0.3622503 0.5056023 -0.8371099  0.0001303 -0.0107382 0.0027048  2.2555142 9124.4931641   0.5477131 1.2353747 -0.9949347  -0.2077600 -0.0525067 0.0776013  0.2306590 -0.5608732   -0.3353330 0.3749902 0.7240922
 2.1500    -0.3652044 0.5525129 -0.8346996  0.0000380 -0.0099827 0.0018893  2.2945114 9559.9335938   0.5595404 1.2838719 -0.9871212  -0.1636036 -0.0391407 0.0605291  0.1975996 -0.5869422   -0.3662741 0.3977654 0.8206412
 2.2000    -0.3677524 0.5966417 -0.8200114  -0.0000555 -0.0087581 0.0013022  2.3358056 10005.2109375   0.5693841 1.3299706 -0.9657307  -0.1130265 -0.0229745 0.0400154  0.1560899 -0.6075759   -0.3990077 0.4146055 0.9189102
 2.2500    -0.3696907 0.6384339 -0.7944409  -0.0001378 -0.0072616 0.0008013  2.3802758 10460.3281250   0.5774430 1.3744735 -0.9324302  -0.0603948 -0.0059502 0.0182321  0.1109210 -0.6303704   -0.4364716 0.4296983 1.0228908
 2.3000    -0.3709475 0.6781155 -0.7595613  -0.0002017 -0.0056178 0.0003313  2.4276116 10925.2802734   0.5840607 1.4178726 -0.8890456  -0.0061865 0.0118719 -0.0045647  0.0620638 -0.6584979   -0.4792750 0.4443213 1.1312572
 2.3500    -0.3872042 0.6430639 -0.6923135  -0.0002573 0.0046553 0.0257529  2.3305070 11399.8144531   0.5958061 1.3885302 -0.8091171  0.0972919 0.0517518 -0.0694599  -0.0159013 -0.4417866   -0.3975545 0.2105241 1.1131137
 2.4000    -0.3825889 0.7565110 -0.6758618  -0.0000411 0.0009213 0.0105597  2.4505910 11883.7255859   0.6124258 1.5008051 -0.7872325  0.1435438 0.0643016 -0.0824087  -0.0688902 -0.5752574   -0.4994406 0.2994893 1.2902359
 2.4500    -0.3764486 0.8951132 -0.6665907  0.0001335 -0.0037402 -0.0087546  2.5796824 12376.8046875   0.6342525 1.6361701 -0.7733335  0.1912109 0.0754708 -0.0907873  -0.1250136 -0.7708374   -0.6402400 0.4477037 1.5214346
 2.5000    -0.3753285 0.9880680 -0.6413307  0.0001054 -0.0043440 -0.0173288  2.6509420 12878.7705078   0.6539899 1.7336894 -0.7418757  0.2564037 0.0961864 -0.1122933  -0.1909928 -0.8727060   -0.7340255 0.5209895 1.7058071
 2.5500    -0.3778436 1.0236543 -0.6000596  -0.0000627 -0.0017004 -0.0157218  2.6775307 13389.6591797   0.6658437 1.7828170 -0.6932794  0.3295466 0.1250665 -0.1444750  -0.2606953 -0.8733767   -0.7677293 0.5105149 1.8154600
 2.6000    -0.3807256 1.0203718 -0.5536668  -0.0002230 0.0015019 -0.0095735  2.6746113 13909.7275391   0.6677726 1.7860320 -0.6402983  0.4000184 0.1570562 -0.1795070  -0.3295615 -0.8419501   -0.7637489 0.4627090 1.8763104
