 1.6000     0.0000000 0.0000000 0.0521850     8.1770277 0.2029805 1.4026685     0.0000000 -374.0231361 -0.6521567   5321.0034180
 1.6500     0.0000000 0.0000000 0.0554929     7.7211752 0.2045661 1.3227950     0.0000000 -397.8258452 -0.6653645   5655.3085938
 1.7000     0.0000000 0.0000000 0.0607213     7.3028665 0.2061176 1.2495914     0.0000000 -422.9236530 -0.6849558   6000.0122070
 1.7500     0.0000000 0.0000000 0.0686086     6.9181318 0.2076364 1.1823449     0.0000000 -449.3635011 -0.7109822   6355.0615234
 1.8000     0.0000000 0.0000000 0.0796435     6.5635076 0.2091238 1.1204343     0.0000000 -477.1775652 -0.7433139   6720.4003906
 1.8500     0.0000000 0.0000000 0.0939896     6.2359676 0.2105810 1.0633177     0.0000000 -506.3730790 -0.7815484   7095.9604492
 1.9000     0.0000000 0.0000000 0.1114105     5.9328599 0.2120091 1.0105206     0.0000000 -536.9294986 -0.8250128   7481.6601563
 1.9500     0.0000000 0.0000000 0.1317217     5.6518388 0.2134093 0.9616238     0.0000000 -567.3135281 -0.8728153   7877.4218750
 2.0000     0.0000000 0.0000000 0.1558523     5.3908143 0.2147825 0.9162545     0.0000000 -597.4983401 -0.9237787   8283.1933594
 2.0500     0.0000000 0.0000000 0.1801753     5.1479454 0.2161298 0.8740843     0.0000000 -628.5952730 -0.9766991   8698.9023438
 2.1000     0.0000000 0.0000000 0.1997703     4.9215879 0.2174522 0.8348206     0.0000000 -660.6302409 -1.0307282   9124.4931641
 2.1500     0.0000000 0.0000000 0.2107184     4.7102675 0.2187506 0.7982011     0.0000000 -693.6226661 -1.0854442   9559.9335938
 2.2000     0.0000000 0.0000000 0.2108373     4.5126619 0.2200260 0.7639911     0.0000000 -727.5889491 -1.1407403   10005.2109375
 2.2500     0.0000000 0.0000000 0.1996578     4.3275871 0.2212794 0.7319805     0.0000000 -762.5455382 -1.1966512   10460.3281250
 2.3000     0.0000000 0.0000000 0.1780556     4.1539888 0.2225117 0.7019823     0.0000000 -798.5089065 -1.2531997   10925.2802734
 2.3500     0.0000000 0.0000000 0.1452860     3.9910045 0.2237231 0.6738434     0.0000000 -835.4724929 -1.3158099   11399.8144531
 2.4000     0.0000000 0.0000000 0.1221501     3.8378270 0.2249140 0.6474208     0.0000000 -876.5896479 -1.3986376   11883.7255859
