 2.8000    3765.97241  162.29034  0.09939  0.02313 -0.00800  0.09319 2.46667  2.96667 162.15663 0.00000 0.00000 0 0 0 16085.52246
 2.8500    3757.84521  165.13652  0.10033  0.02413 -0.00822  0.09334 2.46667  2.96667 165.00008 0.00000 0.00000 0 0 0 16653.42188
 2.9000    3749.57715  167.98129  0.10134  0.02511 -0.00846  0.09349 2.46667  2.96667 167.84215 0.00000 0.00000 0 0 0 17230.79883
 2.9500    3741.16870  170.82478  0.10241  0.02608 -0.00870  0.09364 2.46667  2.96667 170.68290 0.00000 0.00000 0 0 0 17817.66602
 3.0000    3732.61987  173.66710  0.10351  0.02704 -0.00895  0.09380 2.46667  2.96667 173.52248 0.00000 0.00000 0 0 0 18414.01758
 3.0500    3723.93066  176.50838  0.10462  0.02800 -0.00920  0.09395 2.46667  2.96667 176.36103 0.00000 0.00000 0 0 0 19019.87109
 3.1000    3715.10132  179.34871  0.10575  0.02896 -0.00947  0.09411 2.46667  2.96667 179.19863 0.00000 0.00000 0 0 0 19635.22461
 3.1500    3706.13159  182.18808  0.10687  0.02992 -0.00974  0.09427 2.46667  2.96667 182.03529 0.00000 0.00000 0 0 0 20260.05469
 3.2000    3697.02222  185.02654  0.10798  0.03089 -0.01002  0.09442 2.46667  2.96667 184.87103 0.00000 0.00000 0 0 0 20894.36328
 3.2500    3687.77271  187.86404  0.10908  0.03187 -0.01031  0.09458 2.46667  2.96667 187.70585 0.00000 0.00000 0 0 0 21538.11914
 3.3000    3678.38330  190.70071  0.11015  0.03285 -0.01061  0.09474 2.46667  2.96667 190.53975 0.00000 0.00000 0 0 0 22191.33398
 3.3500    3668.85425  193.53647  0.11119  0.03383 -0.01091  0.09490 2.46667  2.96667 193.37277 0.00000 0.00000 0 0 0 22853.97070
 3.4000    3659.18555  196.37131  0.11220  0.03481 -0.01123  0.09506 2.46667  2.96667 196.20491 0.00000 0.00000 0 0 0 23526.01367
 3.4500    3649.37695  199.20523  0.11316  0.03580 -0.01155  0.09523 2.46667  2.96667 199.03617 0.00000 0.00000 0 0 0 24207.44336
 3.5000    3639.42896  201.86409  0.11401  0.03678 -0.01189  0.09539 2.46667  2.96667 201.65773 0.00000 0.00000 0 0 0 24855.34570
 3.5500    3629.39624  202.60660  0.11418  0.03760 -0.01223  0.09555 2.46667  2.96667 202.43435 0.00000 0.00000 0 0 0 25035.85352
 3.6000    3619.32666  203.34920  0.11429  0.03842 -0.01257  0.09571 2.46667  2.96667 203.17628 0.00000 0.00000 0 0 0 25217.00586
 3.6500    3609.22070  204.09216  0.11434  0.03925 -0.01291  0.09587 2.46667  2.96667 203.91856 0.00000 0.00000 0 0 0 25398.87109
 3.7000    3599.07764  204.83549  0.11432  0.04007 -0.01326  0.09603 2.46667  2.96667 204.66122 0.00000 0.00000 0 0 0 25581.44922
 3.7500    3588.89795  205.57896  0.11421  0.04088 -0.01362  0.09619 2.46667  2.96667 205.40401 0.00000 0.00000 0 0 0 25764.68945
 3.8000    3578.68115  206.32251  0.11405  0.04170 -0.01397  0.09635 2.46667  2.96667 206.14688 0.00000 0.00000 0 0 0 25948.57031
 3.8500    3568.42773  207.06601  0.11383  0.04251 -0.01433  0.09650 2.46667  2.96667 206.88973 0.00000 0.00000 0 0 0 26133.06836
 3.9000    3558.13745  207.80936  0.11356  0.04332 -0.01469  0.09666 2.46667  2.96667 207.63242 0.00000 0.00000 0 0 0 26318.15039
 3.9500    3547.80981  208.55246  0.11325  0.04412 -0.01506  0.09681 2.46667  2.96667 208.37487 0.00000 0.00000 0 0 0 26503.79883
 4.0000    3536.49219  209.19122  0.11290  0.04464 -0.01552  0.09702 2.46667  2.96667 209.11703 0.00000 0.00000 0 0 0 26662.67188
 4.0500    3526.09668  209.93365  0.11253  0.04545 -0.01589  0.09718 2.46667  2.96667 209.85889 0.00000 0.00000 0 0 0 26849.29883
 4.1000    3515.66382  210.67575  0.11212  0.04624 -0.01626  0.09733 2.46667  2.96667 210.60040 0.00000 0.00000 0 0 0 27036.46680
 4.1500    3505.19409  211.41747  0.11168  0.04704 -0.01664  0.09748 2.46667  2.96667 211.34154 0.00000 0.00000 0 0 0 27224.16602
 4.2000    3494.68726  212.15877  0.11122  0.04783 -0.01702  0.09764 2.46667  2.96667 212.08227 0.00000 0.00000 0 0 0 27412.38086
 4.2500    3484.14331  212.89958  0.11073  0.04862 -0.01740  0.09779 2.46667  2.96667 212.82252 0.00000 0.00000 0 0 0 27601.09961
 4.3000    3473.56250  213.63989  0.11023  0.04941 -0.01779  0.09794 2.46667  2.96667 213.56226 0.00000 0.00000 0 0 0 27790.30859
 4.3500    3462.94434  214.37964  0.10970  0.05018 -0.01817  0.09808 2.46667  2.96667 214.30145 0.00000 0.00000 0 0 0 27980.00000
 4.4000    3452.28955  215.11879  0.10915  0.05096 -0.01856  0.09823 2.46667  2.96667 215.04007 0.00000 0.00000 0 0 0 28170.15820
 4.4500    3441.59717  215.85732  0.10858  0.05172 -0.01895  0.09838 2.46667  2.96667 215.77807 0.00000 0.00000 0 0 0 28360.77539
 4.5000    3430.86816  216.59521  0.10799  0.05248 -0.01935  0.09852 2.46667  2.96667 216.51544 0.00000 0.00000 0 0 0 28551.85352
 4.5500    3420.10205  217.33151  0.10737  0.05322 -0.01974  0.09867 2.46667  2.96667 217.25123 0.00000 0.00000 0 0 0 28743.13086
 4.6000    3409.29883  218.06639  0.10673  0.05397 -0.02014  0.09881 2.46667  2.96667 217.98565 0.00000 0.00000 0 0 0 28934.65625
 4.6500    3398.45898  218.80017  0.10612  0.05474 -0.02054  0.09896 2.46667  2.96667 218.71897 0.00000 0.00000 0 0 0 29126.50195
 4.7000    3387.58228  219.53256  0.10554  0.05554 -0.02095  0.09910 2.46667  2.96667 219.45090 0.00000 0.00000 0 0 0 29318.59961
 4.7500    3376.66870  220.26357  0.10497  0.05634 -0.02135  0.09924 2.46667  2.96667 220.18146 0.00000 0.00000 0 0 0 29510.93359
 4.8000    3365.71851  220.99344  0.10440  0.05714 -0.02176  0.09938 2.46667  2.96667 220.91086 0.00000 0.00000 0 0 0 29703.58008
 4.8500    3354.73169  221.72237  0.10382  0.05793 -0.02217  0.09952 2.46667  2.96667 221.63933 0.00000 0.00000 0 0 0 29896.58008
 4.9000    3343.70825  222.45045  0.10322  0.05871 -0.02259  0.09965 2.46667  2.96667 222.36695 0.00000 0.00000 0 0 0 30089.96094
 4.9500    3332.64844  223.17772  0.10260  0.05947 -0.02300  0.09979 2.46667  2.96667 223.09375 0.00000 0.00000 0 0 0 30283.72656
 5.0000    3321.51758  223.89220  0.10196  0.06022 -0.02341  0.09992 2.46667  2.96667 223.81969 0.00000 0.00000 0 0 0 30474.66016
 5.0500    3310.38477  224.61996  0.10131  0.06089 -0.02383  0.10006 2.46667  2.96667 224.54474 0.00000 0.00000 0 0 0 30669.77344
 5.1000    3299.21558  225.34676  0.10065  0.06155 -0.02426  0.10019 2.46667  2.96667 225.26887 0.00000 0.00000 0 0 0 30865.22852
 5.1500    3288.00977  226.07254  0.09998  0.06219 -0.02468  0.10032 2.46667  2.96667 225.99209 0.00000 0.00000 0 0 0 31061.01367
 5.2000    3276.76758  226.79732  0.09930  0.06281 -0.02511  0.10045 2.46667  2.96667 226.71436 0.00000 0.00000 0 0 0 31257.13281
