 0.8500000    1.8849557 0.6859190 7.2958612   	1.6225351 49.7199860 8.4428625    0.2965209 -0.0147748 6.2247896
 0.9000000    1.8849557 0.6859194 7.7280068   	1.7934860 52.4890938 8.8832083    0.2911647 -0.0147815 6.2282896
 0.9500000    1.8849557 0.6859198 8.1815081   	1.9535843 55.2758713 9.2908592    0.2822790 -0.0148627 6.2319741
 1.0000000    1.8849557 0.6859203 8.6544428   	2.1018877 58.0789986 9.6571264    0.2724225 -0.0146989 6.2358007
 1.0500000    1.8849557 0.6859207 9.1449795   	2.2375143 60.8934822 9.9941540    0.2629436 -0.0141899 6.2397552
 1.1000000    1.8849558 0.6859212 9.6518669   	2.3595979 63.7179375 10.3093872    0.2536863 -0.0133191 6.2438412
 1.1500000    1.8849558 0.6859217 10.1740179   	2.4671504 66.5524750 10.6018019    0.2441577 -0.0121230 6.2480578
 1.2000000    1.8849558 0.6859223 10.7102070   	2.5592210 69.3972778 10.8676558    0.2340634 -0.0106757 6.2523956
 1.2500000    1.8849558 0.6859228 11.2590160   	2.6349387 72.2523193 11.1027613    0.2233030 -0.0090818 6.2568474
 1.3000000    1.8849559 0.6859234 11.8188219   	2.6935382 75.1174850 11.3039589    0.2119069 -0.0074579 6.2614150
 1.3500000    1.8849559 0.6859240 12.3878765   	2.7344325 77.9929199 11.4676218    0.1999264 -0.0058683 6.2661166
 1.4000000    1.8849559 0.6859246 12.9641237   	2.7569051 80.8789291 11.5866690    0.1879645 -0.0043429 6.2710037
 1.4500000    1.8849560 0.6859253 13.5453320   	2.7595751 83.7740402 11.6626282    0.1768908 -0.0028402 6.2761331
 1.5000000    1.8849560 0.6859259 14.1294880   	2.7405808 86.6768112 11.7022991    0.1672330 -0.0013188 6.2815328
 1.5500000    1.8849560 0.6859266 14.7149630   	2.6973190 89.5859528 11.7137613    0.1591159 0.0002602 0.0039831
 1.6000000    1.8849560 0.6859273 15.3004923   	2.6281331 92.5000305 11.7031107    0.1524554 0.0019518 0.0097671
 1.6500000    1.8849561 0.6859281 15.8850842   	2.5319877 95.4176407 11.6753845    0.1471635 0.0038049 0.0156183
 1.7000000    1.8849561 0.6859288 16.4679985   	2.4081306 98.3374405 11.6356449    0.1431876 0.0059004 0.0214642
 1.7500000    1.8849561 0.6859296 17.0487537   	2.2560854 101.2581329 11.5892792    0.1404843 0.0083580 0.0272329
 1.8000000    1.8849561 0.6859304 17.6271439   	2.0757117 104.1784286 11.5418854    0.1389887 0.0113284 0.0328485
 1.8500000    1.8849562 0.6859313 18.2032433   	1.8672793 107.0971298 11.4989882    0.1386010 0.0149793 0.0382300
 1.9000000    1.8849562 0.6859321 18.7773952   	1.6315243 110.0130615 11.4657803    0.1391885 0.0194773 0.0432938
 1.9500000    1.8849562 0.6859330 19.3501911   	1.3693562 112.9252243 11.4470377    0.1405946 0.0249733 0.0479510
