 2.60000 13909.72754     -0.0424092 -0.0052162 0.0005611 -1.2837021     -9.7547783    0.00624  -102.46814  -76.88264  0.00000     1.0485101  -111.4789140    0.25960  0.00000   150.77199  -0.02443   -0.03542  0.26144   0.10582  5.38008
 2.65000 14439.24414     -0.0430282 -0.0009402 0.0005504 -1.3092426     -9.7540107    0.00617  -106.57589  -80.53611  0.00000     1.0562500  -115.9407675    0.26436  0.00000   153.61965  -0.02463   -0.03546  0.26218   0.10563  5.38396
 2.70000 14978.37695     -0.0434953 0.0015926 0.0005407 -1.3337633     -9.7532537    0.00611  -110.69538  -84.17501  0.00000     1.0639904  -120.5190412    0.26920  0.00000   156.46621  -0.02479   -0.03550  0.26279   0.10548  5.35891
 2.75000 15527.15137     -0.0439436 0.0022631 0.0005349 -1.3581497     -9.7524729    0.00605  -114.84037  -87.81114  0.00000     1.0716456  -125.2129477    0.27412  0.00000   159.31192  -0.02493   -0.03554  0.26323   0.10536  5.33028
 2.80000 16085.52246     -0.0444269 0.0018608 0.0005319 -1.3825641     -9.7516324    0.00600  -119.02375  -91.47268  0.00000     1.0792712  -130.0229100    0.27911  0.00000   162.15663  -0.02504   -0.03559  0.26355   0.10527  5.30256
 2.85000 16653.42188     -0.0449366 0.0012816 0.0005288 -1.4067395     -9.7507138    0.00595  -123.25350  -95.18355  0.00000     1.0869637  -134.9490770    0.28419  0.00000   165.00008  -0.02514   -0.03565  0.26379   0.10521  5.26888
 2.90000 17230.79883     -0.0454403 0.0010523 0.0005237 -1.4303444     -9.7497178    0.00591  -127.53317  -98.95639  0.00000     1.0947939  -139.9912716    0.28934  0.00000   167.84215  -0.02524   -0.03571  0.26399   0.10517  5.22117
 2.95000 17817.66602     -0.0459136 0.0012727 0.0005160 -1.4561643     -9.7486579    0.00587  -131.86456  -102.79497  0.00000     1.1027865  -145.1494134    0.29457  0.00000   170.68290  -0.02533   -0.03577  0.26416   0.10516  5.15612
 3.00000 18414.01758     -0.0463512 0.0017071 0.0005064 -1.4926450     -9.7475514    0.00584  -136.24958  -106.69889  0.00000     1.1109316  -150.4228637    0.29988  0.00000   173.52248  -0.02542   -0.03583  0.26429   0.10518  5.07577
 3.05000 19019.87109     -0.0467628 0.0021094 0.0004958 -1.5289643     -9.7464138    0.00580  -140.69175  -110.66906  0.00000     1.1192114  -155.8107517    0.30526  0.00000   176.36103  -0.02550   -0.03590  0.26441   0.10522  4.98498
 3.10000 19635.22461     -0.0471612 0.0023486 0.0004849 -1.5652803     -9.7452568    0.00577  -145.19583  -114.70840  0.00000     1.1276177  -161.3117109    0.31070  0.00000   179.19863  -0.02558   -0.03597  0.26449   0.10527  4.88845
 3.15000 20260.05469     -0.0475546 0.0024317 0.0004741 -1.6016916     -9.7440894    0.00574  -149.76693  -118.82291  0.00000     1.1361557  -166.9240415    0.31620  0.00000   182.03529  -0.02565   -0.03604  0.26455   0.10533  4.78902
 3.20000 20894.36328     -0.0479458 0.0024400 0.0004632 -1.6382288     -9.7429199    0.00571  -154.40970  -123.01907  0.00000     1.1448386  -172.6463453    0.32175  0.00000   184.87103  -0.02573   -0.03611  0.26460   0.10541  4.68773
 3.25000 21538.11914     -0.0483342 0.0024502 0.0004522 -1.6748832     -9.7417566    0.00568  -159.12726  -127.30228  0.00000     1.1536757  -178.4772830    0.32734  0.00000   187.70585  -0.02580   -0.03618  0.26464   0.10549  4.58474
 3.30000 22191.33398     -0.0487197 0.0024927 0.0004409 -1.7116523     -9.7406080    0.00565  -163.92154  -131.67640  0.00000     1.1626692  -184.4163435    0.33297  0.00000   190.53975  -0.02588   -0.03625  0.26467   0.10559  4.48026
 3.35000 22853.97070     -0.0491039 0.0025550 0.0004294 -1.7485512     -9.7394817    0.00562  -168.79301  -136.14333  0.00000     1.1718112  -190.4630922    0.33864  0.00000   193.37277  -0.02596   -0.03631  0.26470   0.10568  4.37489
 3.40000 23526.01367     -0.0494898 0.0026108 0.0004179 -1.7856112     -9.7383838    0.00559  -173.74172  -140.70410  0.00000     1.1810911  -196.6176517    0.34434  0.00000   196.20491  -0.02604   -0.03638  0.26472   0.10578  4.26941
 3.45000 24207.44336     -0.0498807 0.0026458 0.0004065 -1.8228598     -9.7373190    0.00556  -178.76757  -145.35952  0.00000     1.1904994  -202.8803528    0.35007  0.00000   199.03617  -0.02611   -0.03645  0.26474   0.10589  4.16449
 3.50000 24855.34570     -0.0582882 0.0022681 0.0004015 -1.8581036     -9.7363728    0.00553  -183.56124  -149.83934  0.00000     1.1997148  -208.8774169    0.35559  0.00000   201.65773  -0.02619   -0.03651  0.26474   0.10599  4.06463
 3.55000 25035.85352     -0.0606381 0.0016200 0.0003967 -1.8656194     -9.7361860    0.00552  -181.90058  -151.00546  0.00000     0.9948399  -210.5929829    0.35719  0.00000   202.43435  -0.02620   -0.03654  0.26467   0.10606  3.99940
 3.60000 25217.00586     -0.0628889 0.0011127 0.0003915 -1.8726878     -9.7360617    0.00550  -181.14005  -148.17875  0.00000     0.9876403  -212.3715262    0.35865  0.00000   203.17628  -0.02551   -0.03657  0.26159   0.10607  3.92467
 3.65000 25398.87109     -0.0651317 0.0012410 0.0003838 -1.8790165     -9.7360076    0.00548  -180.02475  -144.65313  0.00000     0.9787737  -214.1559437    0.36006  0.00000   203.91856  -0.02472   -0.03660  0.25803   0.10607  3.83776
 3.70000 25581.44922     -0.0655731 0.0016379 0.0003740 -1.8849781     -9.7360366    0.00546  -178.74943  -140.71268  0.00000     0.9691978  -215.8867978    0.36121  0.00000   204.66122  -0.02387   -0.03662  0.25430   0.10598  3.74528
 3.75000 25764.68945     -0.0655538 0.0018106 0.0003646 -1.8911238     -9.7361491    0.00544  -177.51220  -136.83823  0.00000     0.9598693  -217.5245550    0.36190  0.00000   205.40401  -0.02304   -0.03662  0.25066   0.10577  3.65669
 3.80000 25948.57031     -0.0655503 0.0016212 0.0003567 -1.8977911     -9.7363357    0.00541  -176.46796  -133.34830  0.00000     0.9515272  -219.1279460    0.36250  0.00000   206.14688  -0.02228   -0.03662  0.24735   0.10552  3.57754
 3.85000 26133.06836     -0.0655736 0.0012218 0.0003501 -1.9049897     -9.7365833    0.00538  -175.63296  -130.26576  0.00000     0.9442399  -220.7120827    0.36307  0.00000   206.88973  -0.02161   -0.03661  0.24436   0.10528  3.50784
 3.90000 26318.15039     -0.0656209 0.0008249 0.0003442 -1.9125291     -9.7368813    0.00535  -174.91973  -127.42067  0.00000     0.9375812  -222.2959379    0.36368  0.00000   207.63242  -0.02098   -0.03660  0.24157   0.10504  3.44426
 3.95000 26503.79883     -0.0656842 0.0005490 0.0003383 -1.9202089     -9.7372229    0.00531  -174.22885  -124.62427  0.00000     0.9310736  -223.8904361    0.36438  0.00000   208.37487  -0.02037   -0.03660  0.23885   0.10483  3.38342
 4.00000 26662.67188     -0.0656901 0.0003784 0.0003320 -1.9259556     -9.7376038    0.00528  -173.33304  -121.65615  0.00000     0.9236318  -225.2646965    0.36476  0.00000   209.11703  -0.01976   -0.03659  0.23612   0.10464  3.32367
 4.05000 26849.29883     -0.0657711 0.0002304 0.0003262 -1.9337056     -9.7380200    0.00524  -172.58298  -118.76075  0.00000     0.9169370  -226.8738143    0.36554  0.00000   209.85889  -0.01915   -0.03658  0.23339   0.10447  3.26485
 4.10000 27036.46680     -0.0658597 0.0001294 0.0003203 -1.9415150     -9.7384683    0.00521  -171.81729  -115.83855  0.00000     0.9102143  -228.4929993    0.36638  0.00000   210.60040  -0.01854   -0.03658  0.23066   0.10430  3.20737
 4.15000 27224.16602     -0.0659594 -0.0000033 0.0003147 -1.9494391     -9.7389458    0.00517  -171.06905  -112.95155  0.00000     0.9036193  -230.1161923    0.36723  0.00000   211.34154  -0.01795   -0.03657  0.22799   0.10414  3.15211
 4.20000 27412.38086     -0.0660713 -0.0001758 0.0003095 -1.9575050     -9.7394495    0.00513  -170.35526  -110.13114  0.00000     0.8972302  -231.7426286    0.36810  0.00000   212.08227  -0.01738   -0.03657  0.22540   0.10399  3.09946
 4.25000 27601.09961     -0.0661947 -0.0003620 0.0003045 -1.9657018     -9.7399768    0.00509  -169.67135  -107.36826  0.00000     0.8910238  -233.3742335    0.36900  0.00000   212.82252  -0.01682   -0.03656  0.22288   0.10385  3.04921
 4.30000 27790.30859     -0.0663278 -0.0005375 0.0002997 -1.9740027     -9.7405259    0.00505  -169.00358  -104.63681  0.00000     0.8849350  -235.0128368    0.36991  0.00000   213.56226  -0.01628   -0.03655  0.22041   0.10371  3.00089
 4.35000 27980.00000     -0.0664690 -0.0006952 0.0002950 -1.9823885     -9.7410952    0.00501  -170.01999  -105.08049  0.00000     0.8867467  -236.6591308    0.37086  0.00000   214.30145  -0.01623   -0.03655  0.22017   0.10358  2.95419
 4.40000 28170.15820     -0.0666172 -0.0008413 0.0002904 -1.9908531     -9.7416836    0.00496  -171.07315  -105.58706  0.00000     0.8887168  -238.3128649    0.37182  0.00000   215.04007  -0.01619   -0.03654  0.21997   0.10346  2.90898
 4.45000 28360.77539     -0.0667722 -0.0009851 0.0002860 -1.9993995     -9.7422898    0.00492  -172.13151  -106.09638  0.00000     0.8906975  -239.9737409    0.37281  0.00000   215.77807  -0.01615   -0.03654  0.21978   0.10334  2.86531
 4.50000 28551.85352     -0.0669339 -0.0011313 0.0002817 -2.0080307     -9.7429123    0.00488  -173.19574  -106.60905  0.00000     0.8926920  -241.6418913    0.37381  0.00000   216.51544  -0.01612   -0.03654  0.21959   0.10324  2.82316
 4.55000 28743.13086     -0.0674288 0.0009074 0.0002749 -2.0173777     -9.7435657    0.00483  -174.37250  -107.49370  0.00000     0.8951784  -243.5847107    0.37578  0.00000   217.25123  -0.01614   -0.03657  0.21953   0.10339  2.79218
 4.60000 28934.65625     -0.0676591 -0.0007051 0.0002773 -2.0287061     -9.7442319    0.00479  -175.55648  -108.11731  0.00000     0.8976368  -245.2398222    0.37670  0.00000   217.98565  -0.01612   -0.03657  0.21947   0.10326  2.79089
 4.65000 29126.50195     -0.0679578 -0.0021979 0.0002806 -2.0405761     -9.7448704    0.00475  -176.79040  -108.79208  0.00000     0.9002984  -246.9255671    0.37770  0.00000   218.71897  -0.01611   -0.03656  0.21947   0.10316  2.79736
 4.70000 29318.59961     -0.0682942 -0.0025311 0.0002805 -2.0514207     -9.7454737    0.00470  -178.01964  -109.50288  0.00000     0.9029523  -248.6905432    0.37897  0.00000   219.45090  -0.01610   -0.03657  0.21946   0.10312  2.78854
 4.75000 29510.93359     -0.0685970 -0.0021265 0.0002769 -2.0609018     -9.7460568    0.00466  -179.21499  -110.19599  0.00000     0.9054738  -250.4851139    0.38033  0.00000   220.18146  -0.01609   -0.03658  0.21942   0.10312  2.75983
 4.80000 29703.58008     -0.0688455 -0.0016546 0.0002720 -2.0695612     -9.7466390    0.00462  -180.37551  -110.84556  0.00000     0.9078453  -252.2610720    0.38162  0.00000   220.91086  -0.01608   -0.03659  0.21934   0.10309  2.71942
 4.85000 29896.58008     -0.0690563 -0.0014570 0.0002671 -2.0780809     -9.7472329    0.00458  -181.50939  -111.44877  0.00000     0.9100879  -254.0038754    0.38278  0.00000   221.63933  -0.01606   -0.03659  0.21922   0.10303  2.67730
 4.90000 30089.96094     -0.0692522 -0.0015332 0.0002631 -2.0868659     -9.7478424    0.00454  -182.62353  -112.01162  0.00000     0.9122237  -255.7244581    0.38387  0.00000   222.36695  -0.01603   -0.03659  0.21908   0.10295  2.63926
 4.95000 30283.72656     -0.0694470 -0.0017417 0.0002598 -2.0960069     -9.7484666    0.00450  -183.72175  -112.54110  0.00000     0.9142690  -257.4397802    0.38494  0.00000   223.09375  -0.01600   -0.03659  0.21891   0.10286  2.60647
 5.00000 30474.66016     -0.0696374 -0.0019590 0.0002569 -2.1052029     -9.7491029    0.00446  -184.78754  -113.03167  0.00000     0.9161530  -259.1339080    0.38597  0.00000   223.81969  -0.01596   -0.03659  0.21872   0.10278  2.57775
 5.05000 30669.77344     -0.0698406 -0.0021363 0.0002542 -2.1148319     -9.7497491    0.00441  -185.86789  -113.51845  0.00000     0.9180893  -260.8706869    0.38708  0.00000   224.54474  -0.01592   -0.03659  0.21852   0.10271  2.55150
 5.10000 30865.22852     -0.0700432 -0.0022870 0.0002517 -2.1245554     -9.7504029    0.00437  -186.94456  -113.99151  0.00000     0.9199982  -262.6165744    0.38821  0.00000   225.26887  -0.01588   -0.03659  0.21832   0.10264  2.52668
 5.15000 31061.01367     -0.0702470 -0.0024205 0.0002492 -2.1343283     -9.7510624    0.00433  -188.02308  -114.45992  0.00000     0.9219057  -264.3714526    0.38934  0.00000   225.99209  -0.01584   -0.03659  0.21811   0.10257  2.50263
 5.20000 31257.13281     -0.0704530 -0.0025474 0.0002467 -2.1441254     -9.7517257    0.00429  -189.10798  -114.93035  0.00000     0.9238323  -266.1352062    0.39049  0.00000   226.71436  -0.01580   -0.03659  0.21791   0.10251  2.47900
 5.25000 31453.57031     -0.0706622 -0.0026735 0.0002442 -2.1539283     -9.7523913    0.00424  -190.20297  -115.40825  0.00000     0.9257947  -267.9078999    0.39166  0.00000   227.43569  -0.01576   -0.03659  0.21772   0.10246  2.45554
 5.30000 31650.33008     -0.0708753 -0.0027994 0.0002417 -2.1637211     -9.7530582    0.00420  -191.31117  -115.89824  0.00000     0.9278067  -269.6898877    0.39283  0.00000   228.15604  -0.01573   -0.03660  0.21755   0.10240  2.43203
 5.35000 31847.40039     -0.0710932 -0.0029239 0.0002392 -2.1734874     -9.7537256    0.00416  -192.43485  -116.40397  0.00000     0.9298782  -271.4812612    0.39401  0.00000   228.87542  -0.01569   -0.03660  0.21739   0.10235  2.40825
 5.40000 32044.77148     -0.0713161 -0.0030459 0.0002367 -2.1832127     -9.7543932    0.00411  -193.57557  -116.92815  0.00000     0.9320157  -273.2819067    0.39521  0.00000   229.59379  -0.01566   -0.03660  0.21725   0.10230  2.38404
 5.45000 32242.45117     -0.0715444 -0.0031647 0.0002341 -2.1928868     -9.7550607    0.00407  -194.73440  -117.47268  0.00000     0.9342237  -275.0916707    0.39641  0.00000   230.31115  -0.01563   -0.03661  0.21713   0.10226  2.35926
 5.50000 32440.42578     -0.0717781 -0.0032806 0.0002314 -2.2025023     -9.7557285    0.00403  -195.91175  -118.03863  0.00000     0.9365033  -276.9101036    0.39762  0.00000   231.02747  -0.01561   -0.03661  0.21703   0.10222  2.33382
 5.55000 32638.67773     -0.0720172 -0.0033941 0.0002286 -2.2120549     -9.7563968    0.00398  -197.10755  -118.62642  0.00000     0.9388540  -278.7366774    0.39884  0.00000   231.74275  -0.01558   -0.03662  0.21695   0.10218  2.30771
 5.60000 32837.22656     -0.0722619 -0.0035055 0.0002257 -2.2215463     -9.7570659    0.00394  -198.32163  -119.23606  0.00000     0.9412742  -280.5711775    0.40006  0.00000   232.45696  -0.01556   -0.03662  0.21689   0.10214  2.28094
 5.65000 33036.04297     -0.0725119 -0.0036177 0.0002228 -2.2309772     -9.7577362    0.00390  -199.55325  -119.86695  0.00000     0.9437603  -282.4129908    0.40129  0.00000   233.17010  -0.01555   -0.03663  0.21684   0.10210  2.25355
